date,avg_load,supply_hours,cut_hours,year,month,dow
2022-01-01,850,6.0,18.0,2022,1,5
2022-01-02,878,6.0,18.0,2022,1,6
2022-01-03,910,6.5,17.5,2022,1,0
2022-01-04,917,6.0,18.0,2022,1,1
2022-01-05,871,6.0,18.0,2022,1,2
2022-01-06,882,6.0,18.0,2022,1,3
2022-01-07,879,6.0,18.0,2022,1,4
2022-01-08,934,6.5,17.5,2022,1,5
2022-01-09,907,6.0,18.0,2022,1,6
2022-01-10,909,6.5,17.5,2022,1,0
2022-01-11,889,6.5,17.5,2022,1,1
2022-01-12,942,7.0,17.0,2022,1,2
2022-01-13,939,7.0,17.0,2022,1,3
2022-01-14,979,8.0,16.0,2022,1,4
2022-01-15,939,7.0,17.0,2022,1,5
2022-01-16,939,7.25,16.75,2022,1,6
2022-01-17,949,7.0,17.0,2022,1,0
2022-01-18,923,6.0,18.0,2022,1,1
2022-01-19,885,5.5,18.5,2022,1,2
2022-01-20,763,5.0,19.0,2022,1,3
2022-01-21,798,5.0,19.0,2022,1,4
2022-01-22,757,4.5,19.5,2022,1,5
2022-01-23,665,4.0,20.0,2022,1,6
2022-01-24,812,5.0,19.0,2022,1,0
2022-01-25,867,6.0,18.0,2022,1,1
2022-01-26,889,6.0,18.0,2022,1,2
2022-01-27,910,6.5,17.5,2022,1,3
2022-01-28,917,6.5,17.5,2022,1,4
2022-01-29,894,6.0,18.0,2022,1,5
2022-01-30,883,6.0,18.0,2022,1,6
2022-01-31,949,6.75,17.25,2022,1,0
