time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_speed_10m_mean (km/h),pressure_msl_mean (hPa),cloud_cover_mean (%)
2022-01-01,5.3,11.8,0.9,85,0.00,5.4,1021.6,45
2022-01-02,6.5,13.2,2.2,76,0.00,7.1,1016.1,26
2022-01-03,7.4,9.9,4.6,86,2.70,4.4,1014.9,65
2022-01-04,5.7,9.8,2.0,87,0.30,4.3,1020.6,84
2022-01-05,7.3,11.2,3.6,83,0.20,5.3,1023.0,27
2022-01-06,6.3,12.6,1.0,81,0.00,5.3,1024.2,10
2022-01-07,7.4,13.0,2.4,84,0.00,4.5,1022.1,67
2022-01-08,8.3,14.4,3.5,83,0.00,4.0,1022.1,6
2022-01-09,7.7,15.3,2.0,83,0.00,5.6,1020.3,35
2022-01-10,8.9,11.4,7.0,77,13.10,11.3,1017.8,98
2022-01-11,9.8,12.9,6.6,84,0.60,9.0,1020.4,80
2022-01-12,11.4,14.8,7.7,85,2.80,8.2,1020.5,96
2022-01-13,11.7,14.9,9.4,89,10.40,8.0,1014.4,99
2022-01-14,10.0,11.2,8.1,91,17.40,4.6,1009.0,94
2022-01-15,7.1,10.2,3.2,78,2.30,5.6,1008.2,54
2022-01-16,6.7,8.6,3.8,87,12.90,10.4,1009.0,83
2022-01-17,3.4,7.7,0.7,83,0.10,6.0,1017.2,16
2022-01-18,1.6,6.8,-3.2,80,0.00,4.2,1025.3,22
2022-01-19,2.4,6.9,-1.5,68,4.10,15.6,1019.8,80
2022-01-20,1.9,4.2,-1.2,74,4.30,11.9,1018.5,60
2022-01-21,0.3,4.7,-3.2,75,0.00,4.6,1030.6,2
2022-01-22,1.0,6.0,-3.8,77,0.00,3.4,1027.0,46
2022-01-23,2.3,9.9,-3.3,73,0.00,7.0,1021.1,20
2022-01-24,4.4,9.2,0.1,66,2.00,8.1,1020.7,74
2022-01-25,7.1,11.7,3.5,76,1.30,4.4,1022.6,43
2022-01-26,7.6,13.6,1.0,68,0.00,6.9,1015.5,52
2022-01-27,5.9,8.5,3.7,83,8.00,7.0,1012.6,71
2022-01-28,5.2,8.8,2.5,87,1.40,7.2,1023.0,58
2022-01-29,3.9,9.1,0.9,84,0.10,7.0,1025.1,57
2022-01-30,4.1,9.8,-0.3,77,0.00,5.3,1024.1,18
2022-01-31,5.4,11.4,0.6,72,0.00,4.6,1019.8,41
